RegionName,State,Metro,2020-01
Manchester,NH,Manchester-Nashua,267826
Saint Augustine,FL,Jacksonville,290725
Delray Beach,FL,Miami-Fort Lauderdale-West Palm Beach,351930
Lowell,MA,Boston-Cambridge-Newton,336647
Waterbury,CT,New Haven-Milford,137454
West Palm Beach,FL,Miami-Fort Lauderdale-West Palm Beach,281489
Carlsbad,CA,San Diego-Carlsbad,924888
Elgin,IL,Chicago-Naperville-Elgin,210994
Santa Barbara,CA,Santa Maria-Santa Barbara,1151867
Laurel,MD,Washington-Arlington-Alexandria,360374
Cambridge,MA,Boston-Cambridge-Newton,1489329
Fargo,ND,Fargo,235245
West Jordan,UT,Salt Lake City,372354
Greenville,NC,Greenville,156519
Manassas,VA,Washington-Arlington-Alexandria,404815
Hillsboro,OR,Portland-Vancouver-Hillsboro,399949
Green Bay,WI,Green Bay,147880
Palm Bay,FL,Palm Bay-Melbourne-Titusville,190453
Richardson,TX,Dallas-Fort Worth-Arlington,315974
West Chester,PA,Philadelphia-Camden-Wilmington,442521
Norwalk,CA,Los Angeles-Long Beach-Anaheim,505771
Vero Beach,FL,Sebastian-Vero Beach,233530
Peoria,IL,Peoria,86669
Centennial,CO,Denver-Aurora-Lakewood,496480
Douglasville,GA,Atlanta-Sandy Springs-Roswell,186419
Antioch,CA,San Francisco-Oakland-Hayward,472671
Perris,CA,Riverside-San Bernardino-Ontario,338947
Springfield,VA,Washington-Arlington-Alexandria,532690
Fairfield,CA,Vallejo-Fairfield,467996
Davenport,IA,Davenport-Moline-Rock Island,136630
Lehigh Acres,FL,Cape Coral-Fort Myers,180749
Everett,WA,Seattle-Tacoma-Bellevue,457449
Wichita Falls,TX,Wichita Falls,102482
Erie,PA,Erie,86539
Pompano Beach,FL,Miami-Fort Lauderdale-West Palm Beach,271015
San Leandro,CA,San Francisco-Oakland-Hayward,680524
Riverview,FL,Tampa-St. Petersburg-Clearwater,241235
Burbank,CA,Los Angeles-Long Beach-Anaheim,883564
Vacaville,CA,Vallejo-Fairfield,464724
Madera,CA,Madera,261709
Albany,NY,Albany-Schenectady-Troy,188292
Grand Junction,CO,Grand Junction,269887
Hesperia,CA,Riverside-San Bernardino-Ontario,280430
Jackson,MI,Jackson,135509
The Woodlands,TX,Houston-The Woodlands-Sugar Land,362054
Longview,TX,Longview,167586
San Mateo,CA,San Francisco-Oakland-Hayward,1539251
Edison,NJ,New York-Newark-Jersey City,401114
Franklin,TN,Nashville-Davidson--Murfreesboro--Franklin,510965
Sandy Springs,GA,Atlanta-Sandy Springs-Roswell,584279
Merced,CA,Merced,257836
Jacksonville,NC,Jacksonville,153935
Santa Cruz,CA,Santa Cruz-Watsonville,925142
Lexington,SC,Columbia,198556
Chapel Hill,NC,Durham-Chapel Hill,416691
Kennesaw,GA,Atlanta-Sandy Springs-Roswell,261458
Woodbridge Township,NJ,New York-Newark-Jersey City,318134
Clinton,MI,Detroit-Warren-Dearborn,201115
Elkhart,IN,Elkhart-Goshen,142914
Daly City,CA,San Francisco-Oakland-Hayward,1049662
Rialto,CA,Riverside-San Bernardino-Ontario,378551
Davie,FL,Miami-Fort Lauderdale-West Palm Beach,409534
Columbia,MD,Baltimore-Columbia-Towson,385622
Meridian,ID,Boise City,348569
Lawrence,KS,Lawrence,221632
Napa,CA,Napa,687856
Highlands Ranch,CO,Denver-Aurora-Lakewood,530528
Lynchburg,VA,Lynchburg,156785
Greeley,CO,Greeley,317873
League City,TX,Houston-The Woodlands-Sugar Land,274642
Lakewood Township,NJ,New York-Newark-Jersey City,401759
Mission Viejo,CA,Los Angeles-Long Beach-Anaheim,775164
High Point,NC,Greensboro-High Point,145679
Lithonia,GA,Atlanta-Sandy Springs-Roswell,156835
Anderson,SC,Greenville-Anderson-Mauldin,155926
Livermore,CA,San Francisco-Oakland-Hayward,808908
Spring Hill,FL,Tampa-St. Petersburg-Clearwater,181116
Sandy,UT,Salt Lake City,442912
Federal Way,WA,Seattle-Tacoma-Bellevue,418526
Rio Rancho,NM,Albuquerque,204962
South Gate,CA,Los Angeles-Long Beach-Anaheim,473576
Bryan,TX,College Station-Bryan,186698
Champaign,IL,Champaign-Urbana,145548
Albany,GA,Albany,88466
Portsmouth,VA,Virginia Beach-Norfolk-Newport News,169730
Dearborn,MI,Detroit-Warren-Dearborn,151277
Hawthorne,CA,Los Angeles-Long Beach-Anaheim,674001
Johnson City,TN,Johnson City,169409
Idaho Falls,ID,Idaho Falls,238160
Woodstock,GA,Atlanta-Sandy Springs-Roswell,279380
Livonia,MI,Detroit-Warren-Dearborn,219074
Brockton,MA,Boston-Cambridge-Newton,324618
Asheville,NC,Asheville,307247
Midlothian,VA,Richmond,314677
Indio,CA,Riverside-San Bernardino-Ontario,333360
Annapolis,MD,Baltimore-Columbia-Towson,463412
New Braunfels,TX,San Antonio-New Braunfels,276125
McDonough,GA,Atlanta-Sandy Springs-Roswell,218021
Terre Haute,IN,Terre Haute,98911
Ashburn,VA,Washington-Arlington-Alexandria,612192
Sterling,VA,Washington-Arlington-Alexandria,465161
Auburn,WA,Seattle-Tacoma-Bellevue,421247
Muncie,IN,Muncie,83176
Valdosta,GA,Valdosta,119581
Apopka,FL,Orlando-Kissimmee-Sanford,258130
Kennewick,WA,Kennewick-Richland,312370
Medford,OR,Medford,296870
Allen,TX,Dallas-Fort Worth-Arlington,331451
Kalamazoo,MI,Kalamazoo-Portage,122049
Santa Monica,CA,Los Angeles-Long Beach-Anaheim,2116995
Plantation,FL,Miami-Fort Lauderdale-West Palm Beach,403433
Plainfield,IL,Chicago-Naperville-Elgin,253066
New Bedford,MA,Providence-Warwick,259209
Westminster,CA,Los Angeles-Long Beach-Anaheim,712544
Reading,PA,Reading,68952
Loveland,CO,Fort Collins,378333
Cheyenne,WY,Cheyenne,287993
Fort Smith,AR,Fort Smith,110697
Lawton,OK,Lawton,83618
Kenosha,WI,Chicago-Naperville-Elgin,171585
Roswell,GA,Atlanta-Sandy Springs-Roswell,422950
Monroe,LA,Monroe,147655
Orem,UT,Provo-Orem,338342
Missoula,MT,Missoula,342218
Miami Beach,FL,Miami-Fort Lauderdale-West Palm Beach,1414970
Duluth,MN,Duluth,196484
Sunrise,FL,Miami-Fort Lauderdale-West Palm Beach,305845
Lynn,MA,Boston-Cambridge-Newton,394660
Holland,MI,Grand Rapids-Wyoming,232487
Cleveland,TN,Cleveland,171816
Williamsburg,VA,Virginia Beach-Norfolk-Newport News,329248
Lees Summit,MO,Kansas City,259364
Appleton,WI,Appleton,170917
Newnan,GA,Atlanta-Sandy Springs-Roswell,225468
Menifee,CA,Riverside-San Bernardino-Ontario,376004
San Marcos,CA,San Diego-Carlsbad,626792
Acworth,GA,Atlanta-Sandy Springs-Roswell,256949
Canton,MI,Detroit-Warren-Dearborn,287305
Herndon,VA,Washington-Arlington-Alexandria,577600
Queen Creek,AZ,Phoenix-Mesa-Scottsdale,321920
Covington,GA,Atlanta-Sandy Springs-Roswell,170055
Carmel,IN,Indianapolis-Carmel-Anderson,381835
San Angelo,TX,San Angelo,134642
Hamilton Township,NJ,Trenton,243107
Tonawanda,NY,Buffalo-Cheektowaga-Niagara Falls,158488
Bothell,WA,Seattle-Tacoma-Bellevue,673871
Newton,MA,Boston-Cambridge-Newton,1272209
Warner Robins,GA,Warner Robins,123274
Flagstaff,AZ,Flagstaff,403000
Chino,CA,Riverside-San Bernardino-Ontario,522357
Fort Pierce,FL,Port St. Lucie,165798
Redwood City,CA,San Francisco-Oakland-Hayward,1655542
Lafayette,IN,Lafayette-West Lafayette,149002
Leesburg,VA,Washington-Arlington-Alexandria,605114
Gulfport,MS,Gulfport-Biloxi-Pascagoula,127989
Pittsburg,CA,San Francisco-Oakland-Hayward,582615
Georgetown,TX,Austin-Round Rock,323164
Fall River,MA,Providence-Warwick,270806
Duluth,GA,Atlanta-Sandy Springs-Roswell,275871
Decatur,IL,Decatur,76944
Parker,CO,Denver-Aurora-Lakewood,521064
Newport Beach,CA,Los Angeles-Long Beach-Anaheim,2260206
Arden-Arcade,CA,Sacramento--Roseville--Arden-Arcade,398658
Nashua,NH,Manchester-Nashua,328810
Suffolk,VA,Virginia Beach-Norfolk-Newport News,254418
Redmond,WA,Seattle-Tacoma-Bellevue,949376
Bloomington,IL,Bloomington,176750
Tustin,CA,Los Angeles-Long Beach-Anaheim,804943
Citrus Heights,CA,Sacramento--Roseville--Arden-Arcade,361052
Glen Burnie,MD,Baltimore-Columbia-Towson,272158
Waukegan,IL,Chicago-Naperville-Elgin,138981
Pflugerville,TX,Austin-Round Rock,269186
Bowie,MD,Washington-Arlington-Alexandria,376822
Walnut Creek,CA,San Francisco-Oakland-Hayward,957342
Macomb,MI,Detroit-Warren-Dearborn,317362
Fayetteville,AR,Fayetteville-Springdale-Rogers,221546
Bloomington,MN,Minneapolis-St. Paul-Bloomington,301195
Sioux City,IA,Sioux City,122597
Dallas,GA,Atlanta-Sandy Springs-Roswell,209427
Buena Park,CA,Los Angeles-Long Beach-Anaheim,614729
Longmont,CO,Boulder,422240
Iowa City,IA,Iowa City,256396
Bismarck,ND,Bismarck,292769
Alhambra,CA,Los Angeles-Long Beach-Anaheim,726105
Trenton,NJ,Trenton,66659
Conyers,GA,Atlanta-Sandy Springs-Roswell,184606
Clifton,NJ,New York-Newark-Jersey City,376736
Germantown,MD,Washington-Arlington-Alexandria,348525
Jackson,TN,Jackson,120848
Toms River,NJ,New York-Newark-Jersey City,243009
Lynnwood,WA,Seattle-Tacoma-Bellevue,539657
Cicero,IL,Chicago-Naperville-Elgin,188469
Ellicott City,MD,Baltimore-Columbia-Towson,552556
Sumter,SC,Sumter,125060
Owensboro,KY,Owensboro,129926
Conway,AR,Little Rock-North Little Rock-Conway,166020
Hattiesburg,MS,Hattiesburg,146848
Battle Creek,MI,Battle Creek,125364
Huntington,NY,New York-Newark-Jersey City,767179
Spokane Valley,WA,Spokane-Spokane Valley,271177
Danbury,CT,Bridgeport-Stamford-Norwalk,317008
Norwalk,CT,Bridgeport-Stamford-Norwalk,407032
Watsonville,CA,Santa Cruz-Watsonville,614440
Springfield,OH,Springfield,105301
Houma,LA,Houma-Thibodaux,180258
Largo,FL,Tampa-St. Petersburg-Clearwater,238995
Gresham,OR,Portland-Vancouver-Hillsboro,354124
Brandon,FL,Tampa-St. Petersburg-Clearwater,228504
Troy,MI,Detroit-Warren-Dearborn,336957
Panama City,FL,Panama City,166810
Kingsport,TN,Kingsport-Bristol-Bristol,142108
Sanford,FL,Orlando-Kissimmee-Sanford,223764
Palm Coast,FL,Deltona-Daytona Beach-Ormond Beach,229361
Quincy,MA,Boston-Cambridge-Newton,534729
Westland,MI,Detroit-Warren-Dearborn,148004
Saint George,UT,St. George,338135
Ogden,UT,Ogden-Clearfield,234316
Johns Creek,GA,Atlanta-Sandy Springs-Roswell,434025
Canton,GA,Atlanta-Sandy Springs-Roswell,311807
Kirkland,WA,Seattle-Tacoma-Bellevue,851944
Waldorf,MD,Washington-Arlington-Alexandria,304652
Stafford,VA,Washington-Arlington-Alexandria,371348
Manteca,CA,Stockton-Lodi,427299
Camarillo,CA,Oxnard-Thousand Oaks-Ventura,652933
Farmington Hills,MI,Detroit-Warren-Dearborn,292753
Dalton,GA,Dalton,132782
Cranston,RI,Providence-Warwick,270742
