ranking,city,statecode,avg_sal,med_h,med_r,avg_h_temp,avg_l_temp,med_age,unemp,avg_price,entry_sal,positions,lat,lng,mtg30,mtg_by_sal,rent12,rent_by_sal,rent_mtg_avg,rma_weight,our_rank,combined score,weighted score,weighted rank
87,York,PA,44740,164258,915,,,41,3.8,176340,52974,22,39.9651,-76.7315,"$8,158.21 ",15%,10980,21%,18%,18.00,56,143,105.00,75
97,Youngstown,OH,41360,86850,652,58.3,39.7,43.9,5.8,25638,53789,16,41.0993,-80.6463,"$1,186.12 ",2%,7824,15%,9%,8.50,1,98,105.50,76
91,Providence,RI,52220,228804,925,60.6,42.5,40.2,4.1,240913,62635,25,41.823,-71.4187,"$11,145.62 ",18%,11100,18%,18%,18.00,70,161,109.00,77
98,Scranton,PA,41980,100600,745,58.7,40,42.8,5,90374,55851,11,41.4044,-75.6649,"$4,181.07 ",7%,8940,16%,12%,11.50,13,111,109.50,78
74,Santa Rosa,CA,53890,629917,1456,71,44.2,41.4,2.7,601921,63924,8,38.4458,-122.707,"$27,847.32 ",44%,17472,27%,36%,35.50,101,175,109.50,79
96,Lafayette,LA,39940,165500,769,,,35.4,4.9,172849,55852,4,30.2084,-92.0323,"$7,996.70 ",14%,9228,17%,16%,15.50,48,144,111.50,80
100,Baltimore,MD,56400,248833,1220,65,45.1,38.3,4.2,148820,86191,97,39.3051,-76.6144,"$6,885.02 ",8%,14640,17%,13%,12.50,16,116,112.50,81
95,New Haven,CT,55450,204475,1100,60.6,43.7,40.1,4.1,196009,63005,22,41.3112,-72.9246,"$9,068.18 ",14%,13200,21%,18%,17.50,51,146,112.50,82
60,Honolulu,HI,54030,581658,1653,84.4,70.9,37.6,2.1,977282,59944,11,21.3294,-157.846,"$45,213.05 ",75%,19836,33%,54%,54.00,108,168,114.00,83
102,Philadelphia,PA,54940,200142,1075,64.6,47.1,38.6,4.2,178942,71872,171,40.0077,-75.1339,"$8,278.59 ",12%,12900,18%,15%,15.00,33,135,117.00,84
101,Killeen,TX,41770,155500,888,,,31.1,4,135104,51142,20,31.0755,-97.7297,"$6,250.46 ",12%,10656,21%,17%,16.50,35,136,117.50,85
99,Daytona Beach,FL,38710,192817,990,80.1,61.6,47.1,3.7,178429,53872,5,29.1994,-81.0982,"$8,254.85 ",15%,11880,22%,19%,18.50,57,156,117.50,86
73,Santa Barbara,CA,54320,463750,1496,73,54,33.7,3.9,1151867,76792,4,34.4285,-119.72,"$53,290.07 ",69%,17952,23%,46%,46.00,106,179,119.00,87
104,Chicago,IL,54160,221983,1048,59,40.7,37,4.2,221752,73041,199,41.8373,-87.6862,"$10,259.15 ",14%,12576,17%,16%,15.50,49,153,119.50,88
108,Beaumont,TX,47900,,797,,,36.9,6.2,109736,55174,0,30.085,-94.1451,"$5,076.84 ",9%,9564,17%,13%,13.00,18,126,121.00,89
105,Corpus Christi,TX,44710,,940,,,35.7,5,158264,55890,1,27.7261,-97.3755,"$7,321.94 ",13%,11280,20%,17%,16.50,43,148,121.50,90
111,Jackson,MS,42770,,838,75.5,53.6,36,4.1,44573,56851,7,32.3163,-90.2124,"$2,062.13 ",4%,10056,18%,11%,11.00,6,117,122.00,91
106,Albuquerque,NM,46400,201900,850,68.7,45.4,37.7,4.6,213805,58249,9,35.1053,-106.646,"$9,891.49 ",17%,10200,18%,18%,17.50,67,173,123.50,92
115,Flint,MI,45820,121900,738,,,40.1,5.1,24470,52617,1,43.0235,-83.6922,"$1,132.08 ",2%,8856,17%,10%,9.50,3,118,124.50,93
109,Baton Rouge,LA,44500,179350,873,78.9,57.9,34.9,4.3,189254,58626,13,30.4419,-91.131,"$8,755.66 ",15%,10476,18%,17%,16.50,53,162,125.50,94
